frame,label,x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0,0,0.471958458,0.449127793,-2.098245621,0.994573653,0.516400337,0.35935688,-1.97836709,0.990685046,0.547603548,0.360822678,-1.979143739,0.98986125,0.578041911,0.363829345,-1.979457855,0.989125609,0.412725627,0.366790086,-2.00464654,0.992843449,0.37965408,0.374440193,-2.004336834,0.993396282,0.350108862,0.385091662,-2.005444765,0.994401276,0.623689175,0.435524106,-1.193634629,0.987632155,0.318296432,0.473461151,-1.292526603,0.995854616,0.548065603,0.584847212,-1.799204469,0.99453187,0.424136579,0.590882063,-1.828594208,0.996973395,0.830924511,0.902725577,-0.619525313,0.929935515,0.13393873,1.011051893,-0.79488802,0.957881927,1.04548645,1.413018346,-0.495322168,0.061472166,-0.047803998,1.594131589,-0.569847584,0.19097726,1.002002954,1.771795034,-1.126629472,0.013691338,0.05855459,2.056520939,-1.175375223,0.039925981,1.020935535,1.907668352,-1.325100899,0.024005104,0.068176091,2.231706858,-1.396607399,0.053523909,0.97288686,1.860189199,-1.450310349,0.035309017,0.123954393,2.183779001,-1.535287738,0.082618251,0.953178525,1.815480471,-1.213466525,0.035171375,0.133577138,2.120763063,-1.258291721,0.082562596,0.739327431,2.18156147,-0.053290486,0.000375967,0.27225405,2.230549574,0.060832523,0.000353564,0.802186012,3.209945202,-0.200371295,0.001820921,0.380625963,3.226675987,-0.322967857,0.000718413,0.850452423,4.13244772,0.697303474,0.000101968,0.437086999,4.144881248,0.297791779,2.82E-05,0.860571086,4.275100708,0.718273759,5.30E-05,0.439995766,4.291237831,0.321597308,5.22E-05,0.802522302,4.42663765,-0.358742625,8.54E-05,0.509340346,4.406939507,-0.844303012,0.000168237
1,0,0.474207878,0.448256552,-2.114294291,0.994851351,0.516540766,0.359776825,-1.984118104,0.991186142,0.547603965,0.361410528,-1.984856844,0.990360141,0.577270627,0.364317596,-1.985061884,0.989650726,0.415148109,0.366916239,-2.024623632,0.993269145,0.382617474,0.374574691,-2.024358988,0.993800938,0.352885216,0.385095626,-2.025466919,0.994763672,0.619146228,0.435213298,-1.193800688,0.988166928,0.318294466,0.472013861,-1.369083762,0.996120453,0.548227847,0.578510642,-1.814898491,0.994757175,0.424455076,0.581827939,-1.868530869,0.997122109,0.816839576,0.900471091,-0.605173469,0.928847253,0.134012848,0.992658436,-0.958263516,0.958771944,1.013925672,1.376899004,-0.308147132,0.060596034,-0.047841571,1.581842184,-0.775972009,0.199844897,0.961120248,1.701350927,-0.63010174,0.01439397,0.067196459,2.045463562,-1.175329447,0.041169867,0.976444066,1.823818088,-0.746906877,0.024749536,0.081073008,2.221222401,-1.375911951,0.054457322,0.936192989,1.779055834,-0.844964802,0.03609015,0.140560865,2.17355895,-1.48888278,0.083733767,0.917959392,1.743613362,-0.69786942,0.035858162,0.147512674,2.11004138,-1.249823332,0.083478756,0.726384044,2.159204006,-0.031366192,0.000421728,0.260943472,2.204553127,0.038272567,0.000391385,0.780555129,3.175120354,-0.201992318,0.002047361,0.37789771,3.192062616,-0.393114567,0.000804732,0.836106479,4.091660023,0.653219819,0.000112972,0.432851017,4.100541592,0.170149982,3.16E-05,0.845574498,4.234051704,0.668062329,5.74E-05,0.433555365,4.244942665,0.190146595,5.81E-05,0.79488039,4.379984379,-0.394897133,9.90E-05,0.507917404,4.357617855,-0.956779182,0.000198925
2,0,0.476417482,0.448049664,-2.113708973,0.995111644,0.516799331,0.36040625,-1.981266975,0.99163574,0.547620058,0.362094134,-1.981970072,0.990824759,0.576770008,0.364841193,-1.982114434,0.990131736,0.417291582,0.367282271,-2.023736477,0.993652999,0.385113806,0.374908239,-2.023471832,0.994171381,0.355071783,0.385192573,-2.024579525,0.995089531,0.616338193,0.434950143,-1.188497782,0.988670886,0.318259537,0.471426815,-1.377678156,0.99636358,0.548596919,0.575976312,-1.814337969,0.994957626,0.424918473,0.578232527,-1.869927764,0.997256994,0.807474613,0.900462449,-0.589291453,0.928445816,0.134400755,0.982776642,-0.988258541,0.9598279,0.998583913,1.358143449,-0.271867156,0.059948139,-0.047801554,1.573838711,-0.830442429,0.208114237,0.947547793,1.668754339,-0.59091568,0.015175363,0.071725637,2.037895679,-1.199325323,0.042614967,0.96389854,1.786465883,-0.706131458,0.025672406,0.086181924,2.213418007,-1.384358644,0.055673055,0.925663769,1.743366122,-0.804853082,0.037144322,0.146827474,2.167069435,-1.493841887,0.085255988,0.907179058,1.710371017,-0.659184396,0.036792122,0.153184652,2.10352993,-1.263620496,0.084856108,0.718852937,2.145923138,-0.0140018,0.00046927,0.254884303,2.190618277,0.020687323,0.000430552,0.770815492,3.15570116,-0.196893409,0.002238967,0.376052558,3.173300982,-0.420566618,0.000876605,0.830844223,4.068460941,0.648056626,0.000122442,0.431288898,4.077970505,0.129798084,3.42E-05,0.840377331,4.210892677,0.662070334,6.19E-05,0.430976808,4.22183466,0.148566544,6.25E-05,0.792411149,4.353479862,-0.393927366,0.000111082,0.507829368,4.332604885,-0.98946476,0.000221193
3,0,0.477039725,0.446541101,-2.110028505,0.995292962,0.516634464,0.360407829,-1.977665901,0.992025316,0.54713738,0.362080127,-1.978355169,0.991197288,0.575131774,0.36471498,-1.978493094,0.99055326,0.417924881,0.367288888,-2.022372723,0.993972421,0.386101753,0.374938995,-2.022151232,0.994457185,0.355917752,0.385202348,-2.02323842,0.995355308,0.614433885,0.432889163,-1.189643741,0.989102006,0.318188459,0.471346438,-1.374794364,0.996548951,0.548680663,0.572717249,-1.814115882,0.995068669,0.425568998,0.57403791,-1.866909981,0.997328579,0.806514621,0.899892867,-0.594249606,0.923688114,0.142102897,0.975233316,-0.975621223,0.957884789,0.997917473,1.31472218,-0.329080284,0.058536313,-0.037882432,1.53919816,-0.784717321,0.208851293,0.949101329,1.571336627,-0.667603493,0.015545852,0.076706506,1.95656395,-1.060956836,0.041897815,0.966636956,1.673167944,-0.786851406,0.026009452,0.090666637,2.120357275,-1.224044681,0.05450682,0.927746952,1.628211498,-0.879415631,0.037382189,0.148218885,2.071515799,-1.317748785,0.083337046,0.909229934,1.599975944,-0.734479547,0.037011348,0.154061541,2.012704372,-1.11571908,0.083033614,0.719550908,2.142960548,-0.016195867,0.000527311,0.255952507,2.185814619,0.022957135,0.000476113,0.772436917,3.148176908,-0.219349101,0.002671467,0.378446013,3.162299633,-0.435622394,0.001017357,0.833008111,4.055590153,0.573914766,0.000137518,0.434110165,4.06186676,0.076215431,3.95E-05,0.843705952,4.197536945,0.584485888,6.77E-05,0.433223963,4.204458237,0.091744848,7.04E-05,0.795507729,4.339128017,-0.459463209,0.000126215,0.512172937,4.31750679,-1.027695298,0.0002583
4,0,0.480619848,0.446418256,-2.192366838,0.995613933,0.517353475,0.360744834,-2.062308311,0.99257797,0.547362566,0.362235069,-2.062800646,0.991792917,0.575136781,0.36472863,-2.062850475,0.991192997,0.420241296,0.3676081,-2.107135534,0.994403958,0.388519377,0.375213057,-2.106704235,0.994855404,0.358053744,0.38532865,-2.107676744,0.995698273,0.614465237,0.431844682,-1.273471594,0.989834964,0.318206668,0.471788198,-1.457961798,0.996809244,0.550541282,0.571613133,-1.896038651,0.995390952,0.429419458,0.573022485,-1.950411797,0.997507453,0.807080925,0.898299336,-0.65606916,0.926340818,0.147743791,0.972070634,-1.036772132,0.960041344,0.990298152,1.325598478,-0.35071224,0.060234707,-0.040513858,1.52760911,-0.864835858,0.227605939,0.946059585,1.57654953,-0.664784551,0.016110707,0.074440442,1.969488144,-1.21873939,0.044876345,0.964469135,1.686663985,-0.777973294,0.026504671,0.08572828,2.131876707,-1.395200253,0.057384443,0.927779019,1.667712569,-0.881069839,0.037951216,0.147396728,2.07770896,-1.49339211,0.087230489,0.9088341,1.643887877,-0.734605134,0.037554927,0.153774872,2.01949954,-1.278027534,0.086882047,0.720018148,2.110560894,-0.012165105,0.00055987,0.256381422,2.147983313,0.01892619,0.000506317,0.771916032,3.119373083,-0.218609288,0.002812808,0.37847203,3.129141569,-0.441387475,0.001091083,0.83350879,4.029245377,0.595729589,0.000142795,0.437293053,4.028225899,0.081388228,4.09E-05,0.844181538,4.171704769,0.608437896,6.97E-05,0.437657773,4.167294979,0.097127415,7.35E-05,0.795573294,4.308867455,-0.456695646,0.000131338,0.517003953,4.28904295,-1.057111502,0.000267936
5,0,0.482627004,0.445669174,-2.25229311,0.99591428,0.517753243,0.360671043,-2.122526169,0.993127108,0.547475934,0.361973256,-2.123125553,0.992361367,0.575134397,0.364076585,-2.123226643,0.991812527,0.42155543,0.36761716,-2.170766115,0.994835317,0.38977474,0.37522918,-2.170648336,0.995247781,0.359177411,0.385342658,-2.171675444,0.996041179,0.614742577,0.429419398,-1.323023081,0.990527689,0.318229616,0.472498149,-1.525767326,0.997060835,0.552079082,0.569971919,-1.948929191,0.995691717,0.431803226,0.571674168,-2.009461641,0.997679234,0.809481919,0.898210526,-0.673127055,0.926325202,0.150658444,0.971632004,-1.070236921,0.960663259,0.997884572,1.319692016,-0.350853324,0.061386034,-0.03896261,1.526484847,-0.816131234,0.235650524,0.960575759,1.60538125,-0.625851333,0.016488889,0.074274004,1.97384429,-1.029036999,0.044743218,0.978712261,1.721735358,-0.726844192,0.026581297,0.085552551,2.141901255,-1.181198001,0.056602348,0.943294048,1.687821627,-0.829465866,0.037870839,0.146834478,2.091030836,-1.277946234,0.085812688,0.925106525,1.657937407,-0.693337023,0.037350982,0.153417334,2.030635595,-1.081090689,0.085398734,0.7267102,2.115920544,-0.013485847,0.000648043,0.264454901,2.15504837,0.020224864,0.000587104,0.775180101,3.124827862,-0.218966886,0.003854939,0.38497588,3.136490583,-0.470711857,0.001485668,0.841608822,4.033484459,0.594412744,0.000175317,0.447603047,4.036244869,0.058919549,5.91E-05,0.851867557,4.176596165,0.606055856,7.89E-05,0.450398773,4.176846504,0.075216167,9.51E-05,0.809419334,4.315880775,-0.458679914,0.000170266,0.530482888,4.297506809,-1.066411138,0.000380735
6,0,0.482632875,0.441226453,-2.240918159,0.996181071,0.517516553,0.358111233,-2.113132,0.993610442,0.547229409,0.358589739,-2.113770008,0.992865324,0.574519634,0.359521925,-2.113895655,0.992361069,0.421628177,0.36663264,-2.157657146,0.995205462,0.390037,0.374573767,-2.157458782,0.995582461,0.359688103,0.384693235,-2.15849638,0.996333063,0.614787281,0.422098637,-1.320018291,0.99114424,0.318365991,0.472354025,-1.505353212,0.997275889,0.552202582,0.563388586,-1.940577745,0.995978296,0.432398796,0.565718353,-1.9961555,0.997833431,0.813010871,0.898201048,-0.678781271,0.92723912,0.153433606,0.96723187,-1.042117357,0.96135211,1.002022862,1.324409842,-0.358382404,0.063304745,-0.042085864,1.511158824,-0.790789008,0.24386853,0.972926617,1.608772635,-0.655456781,0.017124042,0.05303622,1.974432468,-0.976574898,0.044991974,0.992895246,1.734099627,-0.761407077,0.026972966,0.057976682,2.147352695,-1.131649852,0.05640981,0.957851529,1.705060244,-0.867150307,0.038239058,0.122386679,2.099079847,-1.237034678,0.085279509,0.938198388,1.67595017,-0.724769235,0.037670981,0.131683841,2.037811995,-1.033842683,0.085010342,0.731001079,2.117859125,-0.013931717,0.000703741,0.268054038,2.15732336,0.020822361,0.000636474,0.776515365,3.125798941,-0.217565492,0.004339407,0.386381328,3.136837244,-0.454469293,0.001702862,0.843410373,4.032568932,0.597359657,0.00019334,0.448283613,4.034417629,0.087219939,6.90E-05,0.853877723,4.176006794,0.607016087,8.32E-05,0.451445878,4.175059795,0.104093693,0.000108858,0.810971916,4.314353943,-0.450180054,0.000189002,0.53078419,4.296582222,-1.039479017,0.000445567
7,0,0.483062357,0.438771993,-2.244565964,0.996428132,0.517518938,0.356143832,-2.117077351,0.994049013,0.547211289,0.356115818,-2.117741346,0.993324935,0.574377835,0.356359601,-2.117876053,0.992854297,0.421861827,0.365716457,-2.163784981,0.995543659,0.390348315,0.37394926,-2.163595676,0.995891392,0.360068917,0.384150147,-2.164650917,0.99660027,0.614844561,0.41756466,-1.321265936,0.991698086,0.318389922,0.472304285,-1.516677141,0.997477472,0.552784026,0.560176015,-1.942721963,0.996235549,0.43355304,0.563354135,-2.001062393,0.997976601,0.815425098,0.897893608,-0.678073823,0.927979112,0.154146701,0.965532482,-1.055193305,0.961972773,1.002953768,1.327240229,-0.360734642,0.064443573,-0.044202741,1.508802891,-0.788008809,0.252077699,0.978460193,1.611602068,-0.674973607,0.017541748,0.049490798,1.975860119,-1.00183773,0.045331463,0.999678254,1.744256735,-0.784829736,0.027201045,0.054642327,2.15109992,-1.161940098,0.056361586,0.964609444,1.71806109,-0.892161727,0.038417924,0.119743362,2.103920937,-1.267608762,0.084989727,0.944093108,1.688809752,-0.745718718,0.037841357,0.128925517,2.04211545,-1.059721589,0.084859483,0.734113097,2.118829489,-0.015045109,0.000744737,0.270312816,2.159321785,0.021934528,0.000671455,0.779096663,3.126546621,-0.192547336,0.004733188,0.388211817,3.138970375,-0.431020796,0.001866941,0.845964611,4.032152653,0.657227635,0.000207886,0.449555248,4.035010815,0.144094884,7.66E-05,0.856571972,4.175828457,0.670313716,8.65E-05,0.452962697,4.175571918,0.165852368,0.000119228,0.812904835,4.31456089,-0.400280952,0.000203794,0.531968832,4.298063755,-0.978123009,0.000493531
8,0,0.48369956,0.437519699,-2.252439976,0.996638179,0.517609596,0.355125397,-2.125584364,0.99443233,0.547224283,0.354848713,-2.126280308,0.993718088,0.574343324,0.354764491,-2.126441002,0.993282378,0.422217131,0.365110457,-2.172956705,0.995840073,0.39067179,0.373503536,-2.172792673,0.996159434,0.360355198,0.383761197,-2.173843861,0.996835828,0.614932716,0.41512239,-1.329208732,0.992179573,0.318394393,0.472242922,-1.526999831,0.997653246,0.55338037,0.558587849,-1.949745417,0.996459544,0.43456167,0.562215924,-2.008939981,0.998100638,0.816794574,0.89697516,-0.684651673,0.928603411,0.154751092,0.964171946,-1.055634618,0.962325454,1.009083509,1.323992372,-0.363544285,0.065858833,-0.045444015,1.507173181,-0.777167261,0.259063065,0.985192776,1.619480252,-0.686014533,0.017924655,0.047921997,1.976964831,-0.957234263,0.04532668,1.006504536,1.745128393,-0.79519552,0.027325276,0.053587724,2.153688669,-1.109075665,0.055898786,0.970524669,1.723331332,-0.901482105,0.038453497,0.118710376,2.107093334,-1.213750243,0.084118038,0.949843585,1.694329143,-0.756127894,0.037858244,0.127718732,2.044900179,-1.012981176,0.084063046,0.735574365,2.119377375,-0.016078318,0.000791732,0.272072166,2.160732985,0.022805434,0.000711619,0.78087604,3.125592709,-0.192845225,0.005225492,0.39040482,3.139367819,-0.420262814,0.002079481,0.847523212,4.029671669,0.659532428,0.000226648,0.451325744,4.033931255,0.161975622,8.74E-05,0.858109474,4.1733284,0.673092246,9.11E-05,0.455039889,4.174599171,0.184487909,0.000133967,0.81451273,4.312525749,-0.399102479,0.00022352,0.533382356,4.29740572,-0.957675755,0.000561542
9,0,0.486261517,0.520524681,-2.336658001,0.996879697,0.537289619,0.405903757,-2.238449574,0.994841814,0.573164284,0.411230505,-2.239122868,0.994198143,0.610074341,0.417259604,-2.23986268,0.99376291,0.437849939,0.39150241,-2.220255136,0.996131539,0.403254926,0.389624238,-2.219475985,0.996427119,0.372628242,0.390774816,-2.220326185,0.997021973,0.67091018,0.459455848,-1.487826347,0.992744505,0.326817185,0.464126974,-1.405251265,0.997783959,0.552261353,0.642739654,-2.051099539,0.996759415,0.433585316,0.631876409,-2.022128582,0.998248219,0.883601487,0.996247232,-1.056297183,0.934140146,0.15413627,0.979802966,-0.787897289,0.965763152,1.032249331,1.529667139,-1.200301051,0.066094369,0.009838031,1.64514029,-0.454026878,0.25334689,0.979176819,1.938942194,-1.941414595,0.016730335,0.070258141,2.164047241,-1.034336925,0.042749077,0.995673776,2.12632966,-2.17121172,0.025221176,0.058250479,2.36336875,-1.196155787,0.051910106,0.928221226,2.119882345,-2.242322445,0.035614844,0.124376118,2.360070944,-1.371133566,0.07831946,0.913808823,2.038602114,-2.001223564,0.035103686,0.135213822,2.279274702,-1.124082804,0.078534536,0.73515594,2.247728825,-0.200707078,0.000952382,0.267431438,2.255194664,0.208229154,0.000869634,0.777394652,3.234111309,0.100428477,0.004840745,0.344276726,3.235919237,1.266075492,0.001934765,0.824095249,4.093208313,1.535576582,0.000227744,0.408022314,4.095990658,3.082683563,8.23E-05,0.835850716,4.25124836,1.618608117,9.81E-05,0.40438351,4.250061989,3.232974291,0.000135772,0.771014869,4.406776905,0.445372164,0.000216127,0.497998565,4.398824692,2.052120209,0.000529632
