frame,label,x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0,0,-0.26736897299999995,-1.7324336770000002,-2.098245621,0.994573653,-0.222927094,-1.8222045900000001,-1.97836709,0.990685046,-0.19172388299999998,-1.8207387920000002,-1.979143739,0.98986125,-0.16128551999999996,-1.817732125,-1.979457855,0.989125609,-0.326601804,-1.8147713840000002,-2.00464654,0.992843449,-0.359673351,-1.8071212770000002,-2.004336834,0.993396282,-0.38921856899999996,-1.7964698080000001,-2.005444765,0.994401276,-0.115638256,-1.7460373640000002,-1.193634629,0.987632155,-0.42103099899999996,-1.7081003190000001,-1.292526603,0.995854616,-0.19126182800000002,-1.596714258,-1.799204469,0.99453187,-0.31519085199999997,-1.590679407,-1.828594208,0.996973395,0.09159708,-1.2788358930000001,-0.619525313,0.929935515,-0.605388701,-1.170509577,-0.79488802,0.957881927,0.3061590190000001,-0.768543124,-0.495322168,0.061472166,-0.787131429,-0.587429881,-0.569847584,0.19097726,0.26267552299999997,-0.4097664360000002,-1.126629472,0.013691338,-0.680772841,-0.12504053100000023,-1.175375223,0.039925981,0.281608104,-0.27389311800000016,-1.325100899,0.024005104,-0.67115134,0.05014538799999979,-1.396607399,0.053523909,0.23355942900000004,-0.3213722710000002,-1.450310349,0.035309017,-0.615373038,0.002217530999999884,-1.535287738,0.082618251,0.21385109400000002,-0.366080999,-1.213466525,0.035171375,-0.6057502929999999,-0.060798407000000054,-1.258291721,0.082562596,0.0,0.0,-0.053290486,0.000375967,0.27225405,2.230549574,0.060832523,0.000353564,0.802186012,3.209945202,-0.200371295,0.001820921,0.380625963,3.226675987,-0.322967857,0.000718413,0.850452423,4.13244772,0.697303474,0.000101968,0.437086999,4.144881248,0.297791779,2.82e-05,0.860571086,4.275100708,0.718273759,5.3e-05,0.439995766,4.291237831,0.321597308,5.22e-05,0.802522302,4.42663765,-0.358742625,8.54e-05,0.509340346,4.406939507,-0.844303012,0.000168237
1,0,-0.252176166,-1.710947454,-2.114294291,0.994851351,-0.20984327800000002,-1.799427181,-1.984118104,0.991186142,-0.17878007900000004,-1.797793478,-1.984856844,0.990360141,-0.14911341700000003,-1.79488641,-1.985061884,0.989650726,-0.311235935,-1.792287767,-2.024623632,0.993269145,-0.34376657,-1.7846293149999999,-2.024358988,0.993800938,-0.373498828,-1.77410838,-2.025466919,0.994763672,-0.10723781600000004,-1.7239907079999999,-1.193800688,0.988166928,-0.408089578,-1.687190145,-1.369083762,0.996120453,-0.17815619699999996,-1.580693364,-1.814898491,0.994757175,-0.301928968,-1.5773760669999999,-1.868530869,0.997122109,0.090455532,-1.258732915,-0.605173469,0.928847253,-0.592371196,-1.1665455699999998,-0.958263516,0.958771944,0.28754162800000005,-0.782305002,-0.308147132,0.060596034,-0.774225615,-0.5773618219999999,-0.775972009,0.199844897,0.23473620399999995,-0.45785307899999994,-0.63010174,0.01439397,-0.659187585,-0.11374044399999983,-1.175329447,0.041169867,0.250060022,-0.33538591800000006,-0.746906877,0.024749536,-0.6453110360000001,0.06201839499999995,-1.375911951,0.054457322,0.20980894500000002,-0.38014817199999995,-0.844964802,0.03609015,-0.585823179,0.014354943999999925,-1.48888278,0.083733767,0.19157534799999998,-0.4155906439999999,-0.69786942,0.035858162,-0.57887137,-0.049162625999999765,-1.249823332,0.083478756,0.0,0.0,-0.031366192,0.000421728,0.260943472,2.204553127,0.038272567,0.000391385,0.780555129,3.175120354,-0.201992318,0.002047361,0.37789771,3.192062616,-0.393114567,0.000804732,0.836106479,4.091660023,0.653219819,0.000112972,0.432851017,4.100541592,0.170149982,3.16e-05,0.845574498,4.234051704,0.668062329,5.74e-05,0.433555365,4.244942665,0.190146595,5.81e-05,0.79488039,4.379984379,-0.394897133,9.9e-05,0.507917404,4.357617855,-0.956779182,0.000198925
2,0,-0.24243545499999997,-1.697873474,-2.113708973,0.995111644,-0.202053606,-1.785516888,-1.981266975,0.99163574,-0.17123287899999995,-1.7838290040000002,-1.981970072,0.990824759,-0.14208292899999997,-1.7810819450000002,-1.982114434,0.990131736,-0.301561355,-1.778640867,-2.023736477,0.993652999,-0.33373913099999997,-1.771014899,-2.023471832,0.994171381,-0.363781154,-1.7607305650000002,-2.024579525,0.995089531,-0.10251474399999994,-1.710972995,-1.188497782,0.988670886,-0.4005934,-1.674496323,-1.377678156,0.99636358,-0.170256018,-1.5699468260000002,-1.814337969,0.994957626,-0.29393446399999995,-1.5676906110000002,-1.869927764,0.997256994,0.08862167600000004,-1.2454606890000002,-0.589291453,0.928445816,-0.5844521819999999,-1.163146496,-0.988258541,0.9598279,0.2797309760000001,-0.7877796890000002,-0.271867156,0.059948139,-0.7666544909999999,-0.5720844270000001,-0.830442429,0.208114237,0.22869485600000006,-0.4771687990000002,-0.59091568,0.015175363,-0.6471273,-0.1080274590000001,-1.199325323,0.042614967,0.245045603,-0.35945725500000014,-0.706131458,0.025672406,-0.632671013,0.0674948689999999,-1.384358644,0.055673055,0.20681083200000006,-0.40255701600000005,-0.804853082,0.037144322,-0.5720254629999999,0.021146297000000036,-1.493841887,0.085255988,0.188326121,-0.4355521210000002,-0.659184396,0.036792122,-0.565668285,-0.042393208000000016,-1.263620496,0.084856108,0.0,0.0,-0.0140018,0.00046927,0.254884303,2.190618277,0.020687323,0.000430552,0.770815492,3.15570116,-0.196893409,0.002238967,0.376052558,3.173300982,-0.420566618,0.000876605,0.830844223,4.068460941,0.648056626,0.000122442,0.431288898,4.077970505,0.129798084,3.42e-05,0.840377331,4.210892677,0.662070334,6.19e-05,0.430976808,4.22183466,0.148566544,6.25e-05,0.792411149,4.353479862,-0.393927366,0.000111082,0.507829368,4.332604885,-0.98946476,0.000221193
3,0,-0.24251118299999996,-1.696419447,-2.110028505,0.995292962,-0.20291644399999997,-1.782552719,-1.977665901,0.992025316,-0.17241352799999998,-1.780880421,-1.978355169,0.991197288,-0.14441913399999995,-1.778245568,-1.978493094,0.99055326,-0.30162602699999996,-1.77567166,-2.022372723,0.993972421,-0.333449155,-1.768021553,-2.022151232,0.994457185,-0.363633156,-1.7577582,-2.02323842,0.995355308,-0.10511702300000003,-1.710071385,-1.189643741,0.989102006,-0.401362449,-1.6716141100000002,-1.374794364,0.996548951,-0.17087024500000003,-1.570243299,-1.814115882,0.995068669,-0.29398191,-1.568922638,-1.866909981,0.997328579,0.08696371300000005,-1.2430676809999999,-0.594249606,0.923688114,-0.577448011,-1.167727232,-0.975621223,0.957884789,0.278366565,-0.8282383680000001,-0.329080284,0.058536313,-0.75743334,-0.603762388,-0.784717321,0.208851293,0.229550421,-0.571623921,-0.667603493,0.015545852,-0.642844402,-0.18639659799999997,-1.060956836,0.041897815,0.247086048,-0.469792604,-0.786851406,0.026009452,-0.628884271,-0.02260327300000009,-1.224044681,0.05450682,0.20819604400000002,-0.51474905,-0.879415631,0.037382189,-0.571332023,-0.07144474899999986,-1.317748785,0.083337046,0.18967902599999997,-0.5429846039999999,-0.734479547,0.037011348,-0.565489367,-0.13025617600000006,-1.11571908,0.083033614,0.0,0.0,-0.016195867,0.000527311,0.255952507,2.185814619,0.022957135,0.000476113,0.772436917,3.148176908,-0.219349101,0.002671467,0.378446013,3.162299633,-0.435622394,0.001017357,0.833008111,4.055590153,0.573914766,0.000137518,0.434110165,4.06186676,0.076215431,3.95e-05,0.843705952,4.197536945,0.584485888,6.77e-05,0.433223963,4.204458237,0.091744848,7.04e-05,0.795507729,4.339128017,-0.459463209,0.000126215,0.512172937,4.31750679,-1.027695298,0.0002583
4,0,-0.23939829999999995,-1.6641426379999997,-2.192366838,0.995613933,-0.20266467300000002,-1.7498160599999997,-2.062308311,0.99257797,-0.17265558199999997,-1.7483258249999998,-2.062800646,0.991792917,-0.14488136699999998,-1.7458322639999997,-2.062850475,0.991192997,-0.299776852,-1.7429527939999998,-2.107135534,0.994403958,-0.33149877099999997,-1.7353478369999997,-2.106704235,0.994855404,-0.36196440399999996,-1.7252322439999999,-2.107676744,0.995698273,-0.10555291099999997,-1.6787162119999999,-1.273471594,0.989834964,-0.40181147999999994,-1.6387726959999998,-1.457961798,0.996809244,-0.169476866,-1.5389477609999997,-1.896038651,0.995390952,-0.29059869,-1.5375384089999997,-1.950411797,0.997507453,0.08706277699999998,-1.2122615579999998,-0.65606916,0.926340818,-0.572274357,-1.1384902599999998,-1.036772132,0.960041344,0.2702800040000001,-0.7849624159999997,-0.35071224,0.060234707,-0.7605320059999999,-0.5829517839999998,-0.864835858,0.227605939,0.226041437,-0.5340113639999997,-0.664784551,0.016110707,-0.645577706,-0.14107274999999975,-1.21873939,0.044876345,0.244450987,-0.42389690899999977,-0.777973294,0.026504671,-0.634289868,0.021315813000000183,-1.395200253,0.057384443,0.20776087100000007,-0.4428483249999997,-0.881069839,0.037951216,-0.5726214199999999,-0.03285193399999997,-1.49339211,0.087230489,0.188815952,-0.46667301699999975,-0.734605134,0.037554927,-0.566243276,-0.09106135399999982,-1.278027534,0.086882047,0.0,0.0,-0.012165105,0.00055987,0.256381422,2.147983313,0.01892619,0.000506317,0.771916032,3.119373083,-0.218609288,0.002812808,0.37847203,3.129141569,-0.441387475,0.001091083,0.83350879,4.029245377,0.595729589,0.000142795,0.437293053,4.028225899,0.081388228,4.09e-05,0.844181538,4.171704769,0.608437896,6.97e-05,0.437657773,4.167294979,0.097127415,7.35e-05,0.795573294,4.308867455,-0.456695646,0.000131338,0.517003953,4.28904295,-1.057111502,0.000267936
5,0,-0.24408319599999995,-1.6702513700000001,-2.25229311,0.99591428,-0.20895695699999994,-1.7552495010000002,-2.122526169,0.993127108,-0.17923426599999992,-1.7539472880000002,-2.123125553,0.992361367,-0.15157580299999995,-1.7518439590000001,-2.123226643,0.991812527,-0.30515476999999996,-1.7483033840000002,-2.170766115,0.994835317,-0.33693545999999996,-1.7406913640000001,-2.170648336,0.995247781,-0.36753278899999997,-1.7305778860000003,-2.171675444,0.996041179,-0.11196762299999996,-1.6865011460000001,-1.323023081,0.990527689,-0.408480584,-1.6434223950000002,-1.525767326,0.997060835,-0.17463111799999997,-1.5459486250000003,-1.948929191,0.995691717,-0.294906974,-1.5442463760000003,-2.009461641,0.997679234,0.08277171900000002,-1.2177100180000002,-0.673127055,0.926325202,-0.576051756,-1.1442885400000002,-1.070236921,0.960663259,0.27117437200000005,-0.7962285280000001,-0.350853324,0.061386034,-0.76567281,-0.5894356970000001,-0.816131234,0.235650524,0.23386555900000006,-0.5105392940000002,-0.625851333,0.016488889,-0.652436196,-0.14207625400000023,-1.029036999,0.044743218,0.252002061,-0.3941851860000001,-0.726844192,0.026581297,-0.6411576489999999,0.02598071099999988,-1.181198001,0.056602348,0.21658384800000008,-0.42809891700000025,-0.829465866,0.037870839,-0.5798757219999999,-0.024889708000000343,-1.277946234,0.085812688,0.19839632500000004,-0.45798313700000026,-0.693337023,0.037350982,-0.573292866,-0.08528494900000005,-1.081090689,0.085398734,0.0,0.0,-0.013485847,0.000648043,0.264454901,2.15504837,0.020224864,0.000587104,0.775180101,3.124827862,-0.218966886,0.003854939,0.38497588,3.136490583,-0.470711857,0.001485668,0.841608822,4.033484459,0.594412744,0.000175317,0.447603047,4.036244869,0.058919549,5.91e-05,0.851867557,4.176596165,0.606055856,7.89e-05,0.450398773,4.176846504,0.075216167,9.51e-05,0.809419334,4.315880775,-0.458679914,0.000170266,0.530482888,4.297506809,-1.066411138,0.000380735
6,0,-0.24836820399999998,-1.6766326719999998,-2.240918159,0.996181071,-0.213484526,-1.7597478919999998,-2.113132,0.993610442,-0.18377166999999994,-1.7592693859999997,-2.113770008,0.992865324,-0.15648144500000005,-1.7583371999999997,-2.113895655,0.992361069,-0.309372902,-1.7512264849999999,-2.157657146,0.995205462,-0.340964079,-1.7432853579999998,-2.157458782,0.995582461,-0.371312976,-1.7331658899999998,-2.15849638,0.996333063,-0.11621379799999998,-1.695760488,-1.320018291,0.99114424,-0.412635088,-1.6455050999999998,-1.505353212,0.997275889,-0.17879849699999995,-1.554470539,-1.940577745,0.995978296,-0.298602283,-1.552140772,-1.9961555,0.997833431,0.08200979200000003,-1.2196580769999998,-0.678781271,0.92723912,-0.577567473,-1.1506272549999998,-1.042117357,0.96135211,0.271021783,-0.793449283,-0.358382404,0.063304745,-0.773086943,-0.6067003009999998,-0.790789008,0.24386853,0.24192553800000005,-0.5090864899999998,-0.655456781,0.017124042,-0.677964859,-0.1434266569999998,-0.976574898,0.044991974,0.261894167,-0.38375949799999987,-0.761407077,0.026972966,-0.673024397,0.02949357000000008,-1.131649852,0.05640981,0.22685045000000004,-0.41279888099999984,-0.867150307,0.038239058,-0.6086144,-0.01877927799999979,-1.237034678,0.085279509,0.207197309,-0.44190895499999994,-0.724769235,0.037670981,-0.599317238,-0.08004712999999963,-1.033842683,0.085010342,0.0,0.0,-0.013931717,0.000703741,0.268054038,2.15732336,0.020822361,0.000636474,0.776515365,3.125798941,-0.217565492,0.004339407,0.386381328,3.136837244,-0.454469293,0.001702862,0.843410373,4.032568932,0.597359657,0.00019334,0.448283613,4.034417629,0.087219939,6.9e-05,0.853877723,4.176006794,0.607016087,8.32e-05,0.451445878,4.175059795,0.104093693,0.000108858,0.810971916,4.314353943,-0.450180054,0.000189002,0.53078419,4.296582222,-1.039479017,0.000445567
7,0,-0.25105074000000005,-1.6800574959999999,-2.244565964,0.996428132,-0.216594159,-1.762685657,-2.117077351,0.994049013,-0.186901808,-1.762713671,-2.117741346,0.993324935,-0.1597352620000001,-1.7624698879999998,-2.117876053,0.992854297,-0.31225127,-1.753113032,-2.163784981,0.995543659,-0.34376478200000005,-1.7448802289999998,-2.163595676,0.995891392,-0.37404418000000006,-1.734679342,-2.164650917,0.99660027,-0.11926853600000009,-1.7012648289999999,-1.321265936,0.991698086,-0.41572317500000006,-1.646525204,-1.516677141,0.997477472,-0.18132907100000006,-1.5586534739999998,-1.942721963,0.996235549,-0.30056005700000005,-1.555475354,-2.001062393,0.997976601,0.08131200099999991,-1.220935881,-0.678073823,0.927979112,-0.5799663960000001,-1.153297007,-1.055193305,0.961972773,0.268840671,-0.7915892599999999,-0.360734642,0.064443573,-0.778315838,-0.6100265979999999,-0.788008809,0.252077699,0.24434709599999993,-0.5072274209999998,-0.674973607,0.017541748,-0.684622299,-0.14296936999999987,-1.00183773,0.045331463,0.26556515699999994,-0.3745727539999999,-0.784829736,0.027201045,-0.67947077,0.032270431000000155,-1.161940098,0.056361586,0.230496347,-0.40076839899999994,-0.892161727,0.038417924,-0.614369735,-0.014908552000000075,-1.267608762,0.084989727,0.20998001099999997,-0.43001973699999985,-0.745718718,0.037841357,-0.6051875800000001,-0.07671403900000007,-1.059721589,0.084859483,0.0,0.0,-0.015045109,0.000744737,0.270312816,2.159321785,0.021934528,0.000671455,0.779096663,3.126546621,-0.192547336,0.004733188,0.388211817,3.138970375,-0.431020796,0.001866941,0.845964611,4.032152653,0.657227635,0.000207886,0.449555248,4.035010815,0.144094884,7.66e-05,0.856571972,4.175828457,0.670313716,8.65e-05,0.452962697,4.175571918,0.165852368,0.000119228,0.812904835,4.31456089,-0.400280952,0.000203794,0.531968832,4.298063755,-0.978123009,0.000493531
8,0,-0.251874805,-1.681857676,-2.252439976,0.996638179,-0.21796476899999995,-1.7642519779999999,-2.125584364,0.99443233,-0.18835008199999992,-1.764528662,-2.126280308,0.993718088,-0.16123104099999996,-1.764612884,-2.126441002,0.993282378,-0.31335723399999993,-1.754266918,-2.172956705,0.995840073,-0.34490257499999993,-1.745873839,-2.172792673,0.996159434,-0.37521916699999996,-1.735616178,-2.173843861,0.996835828,-0.12064164899999996,-1.704254985,-1.329208732,0.992179573,-0.41717997199999995,-1.647134453,-1.526999831,0.997653246,-0.182193995,-1.560789526,-1.949745417,0.996459544,-0.30101269499999994,-1.557161451,-2.008939981,0.998100638,0.08122020900000004,-1.222402215,-0.684651673,0.928603411,-0.5808232729999999,-1.155205429,-1.055634618,0.962325454,0.27350914400000015,-0.795385003,-0.363544285,0.065858833,-0.7810183799999999,-0.612204194,-0.777167261,0.259063065,0.24961841100000004,-0.499897123,-0.686014533,0.017924655,-0.687652368,-0.14241254399999992,-0.957234263,0.04532668,0.27093017100000005,-0.3742489819999999,-0.79519552,0.027325276,-0.681986641,0.0343112940000001,-1.109075665,0.055898786,0.23495030400000005,-0.3960460429999999,-0.901482105,0.038453497,-0.616863989,-0.012284041000000023,-1.213750243,0.084118038,0.21426922000000004,-0.42504823199999997,-0.756127894,0.037858244,-0.607855633,-0.07447719600000013,-1.012981176,0.084063046,0.0,0.0,-0.016078318,0.000791732,0.272072166,2.160732985,0.022805434,0.000711619,0.78087604,3.125592709,-0.192845225,0.005225492,0.39040482,3.139367819,-0.420262814,0.002079481,0.847523212,4.029671669,0.659532428,0.000226648,0.451325744,4.033931255,0.161975622,8.74e-05,0.858109474,4.1733284,0.673092246,9.11e-05,0.455039889,4.174599171,0.184487909,0.000133967,0.81451273,4.312525749,-0.399102479,0.00022352,0.533382356,4.29740572,-0.957675755,0.000561542
9,0,-0.24889442299999998,-1.7272041439999999,-2.336658001,0.996879697,-0.1978663209999999,-1.841825068,-2.238449574,0.994841814,-0.16199165599999998,-1.8364983199999998,-2.239122868,0.994198143,-0.12508159899999993,-1.8304692209999998,-2.23986268,0.99376291,-0.29730600099999993,-1.8562264149999999,-2.220255136,0.996131539,-0.33190101399999994,-1.8581045869999997,-2.219475985,0.996427119,-0.36252769799999995,-1.8569540089999999,-2.220326185,0.997021973,-0.06424575999999993,-1.7882729769999999,-1.487826347,0.992744505,-0.40833875499999994,-1.7836018509999998,-1.405251265,0.997783959,-0.18289458699999994,-1.6049891709999997,-2.051099539,0.996759415,-0.30157062399999995,-1.6158524159999998,-2.022128582,0.998248219,0.148445547,-1.2514815929999998,-1.056297183,0.934140146,-0.58101967,-1.2679258589999998,-0.787897289,0.965763152,0.2970933910000001,-0.7180616859999998,-1.200301051,0.066094369,-0.7253179089999999,-0.6025885349999998,-0.454026878,0.25334689,0.24402087900000002,-0.3087866309999998,-1.941414595,0.016730335,-0.664897799,-0.08368158399999981,-1.034336925,0.042749077,0.260517836,-0.1213991649999997,-2.17121172,0.025221176,-0.6769054609999999,0.11563992499999998,-1.196155787,0.051910106,0.19306528600000006,-0.12784647999999965,-2.242322445,0.035614844,-0.6107798219999999,0.11234211900000002,-1.371133566,0.07831946,0.17865288300000004,-0.2091267109999997,-2.001223564,0.035103686,-0.599942118,0.03154587700000011,-1.124082804,0.078534536,0.0,0.0,-0.200707078,0.000952382,0.267431438,2.255194664,0.208229154,0.000869634,0.777394652,3.234111309,0.100428477,0.004840745,0.344276726,3.235919237,1.266075492,0.001934765,0.824095249,4.093208313,1.535576582,0.000227744,0.408022314,4.095990658,3.082683563,8.23e-05,0.835850716,4.25124836,1.618608117,9.81e-05,0.40438351,4.250061989,3.232974291,0.000135772,0.771014869,4.406776905,0.445372164,0.000216127,0.497998565,4.398824692,2.052120209,0.000529632
